time,wx,wy,wz
0.006920814514160156,-0.48,-0.17,0.12
0.013628005981445312,-0.42,-0.32,0.15
0.02372884750366211,-0.34,-0.44,0.16
0.042756080627441406,-0.29,-0.51,0.12
0.04457497596740723,-0.29,-0.5,0.05
0.05393409729003906,-0.24,-0.61,-0.01
0.06410598754882812,-0.16,-0.8,-0.06
0.07549905776977539,-0.08,-0.98,-0.1
0.08544683456420898,-0.03,-1.16,-0.18
0.09565591812133789,0.0,-1.37,-0.27
0.10634899139404297,-0.01,-1.57,-0.31
0.11550283432006836,-0.06,-1.73,-0.31
0.12519598007202148,-0.14,-1.86,-0.31
0.1438140869140625,-0.23,-1.95,-0.31
0.14563393592834473,-0.31,-2.05,-0.3
0.15492582321166992,-0.37,-2.17,-0.28
0.1647810935974121,-0.4,-2.26,-0.28
0.17504501342773438,-0.41,-2.34,-0.31
0.18601083755493164,-0.41,-2.4,-0.35
0.19585394859313965,-0.4,-2.41,-0.49
0.2056570053100586,-0.39,-2.37,-0.7
0.21591496467590332,-0.38,-2.33,-0.85
0.22664189338684082,-0.36,-2.29,-0.95
0.24555397033691406,-0.32,-2.24,-1.01
0.2473430633544922,-0.26,-2.19,-1.02
0.25539684295654297,-0.2,-2.14,-1.0
0.265592098236084,-0.15,-2.08,-0.94
0.27690601348876953,-0.11,-2.03,-0.84
0.28601598739624023,-0.08,-1.97,-0.7
0.29670190811157227,-0.05,-1.92,-0.52
0.30647802352905273,-0.02,-1.86,-0.31
0.3166837692260742,0.02,-1.8,-0.1
0.3268458843231201,0.05,-1.74,0.11
0.34076976776123047,0.08,-1.68,0.31
0.3460118770599365,0.1,-1.62,0.47
0.35615086555480957,0.09,-1.56,0.61
0.36720895767211914,0.08,-1.5,0.72
0.37760400772094727,0.05,-1.44,0.8
0.3868417739868164,0.01,-1.38,0.87
0.3979768753051758,-0.05,-1.32,0.88
0.4076368808746338,-0.11,-1.26,0.86
0.4177670478820801,-0.18,-1.21,0.8
0.42864990234375,-0.26,-1.15,0.7
0.4442329406738281,-0.33,-1.1,0.56
0.44687604904174805,-0.4,-1.04,0.41
0.45776796340942383,-0.46,-0.98,0.24
0.46773386001586914,-0.5,-0.93,0.08
0.4779930114746094,-0.51,-0.87,-0.07
0.4873390197753906,-0.51,-0.81,-0.21
0.4984719753265381,-0.48,-0.74,-0.34
0.5083317756652832,-0.43,-0.68,-0.44
0.5182890892028809,-0.38,-0.61,-0.51
0.5288200378417969,-0.31,-0.54,-0.54
0.5450179576873779,-0.23,-0.47,-0.54
0.547407865524292,-0.13,-0.4,-0.49
0.5584688186645508,-0.02,-0.32,-0.4
0.5679888725280762,0.09,-0.25,-0.3
0.5789470672607422,0.2,-0.17,-0.17
0.5881938934326172,0.29,-0.1,-0.04
0.5989398956298828,0.34,-0.02,0.1
0.6089398860931396,0.34,0.05,0.26
0.6186819076538086,0.3,0.13,0.41
0.6294350624084473,0.22,0.2,0.56
0.6436710357666016,0.11,0.27,0.68
0.6481280326843262,0.0,0.35,0.77
0.6595869064331055,-0.11,0.42,0.81
0.6688308715820312,-0.21,0.49,0.8
0.6792769432067871,-0.32,0.56,0.76
0.6889688968658447,-0.4,0.62,0.69
0.6993269920349121,-0.48,0.69,0.6
0.7099628448486328,-0.54,0.75,0.49
0.7191998958587646,-0.58,0.81,0.38
0.7418279647827148,-0.59,0.87,0.25
0.7443938255310059,-0.58,0.94,0.12
0.7488889694213867,-0.54,1.01,0.0
0.7617499828338623,-0.48,1.08,-0.12
0.7697219848632812,-0.4,1.14,-0.22
0.7800109386444092,-0.33,1.21,-0.28
0.7904720306396484,-0.26,1.28,-0.31
0.8003277778625488,-0.2,1.35,-0.3
0.8105859756469727,-0.14,1.42,-0.25
0.820502758026123,-0.08,1.5,-0.16
0.8401079177856445,-0.03,1.57,-0.05
0.841984748840332,-0.02,1.64,0.09
0.8495750427246094,-0.03,1.71,0.23
0.8597598075866699,-0.07,1.78,0.37
0.8698298931121826,-0.15,1.85,0.52
0.8813638687133789,-0.25,1.91,0.66
0.891294002532959,-0.37,1.98,0.79
0.9012548923492432,-0.48,2.04,0.88
0.910768985748291,-0.58,2.09,0.95
0.9207820892333984,-0.66,2.14,0.97
0.9415788650512695,-0.74,2.19,0.96
0.9434199333190918,-0.79,2.24,0.91
0.9502620697021484,-0.83,2.28,0.83
0.9610757827758789,-0.85,2.33,0.72
0.9705579280853271,-0.84,2.37,0.58
0.9818029403686523,-0.79,2.41,0.44
0.9916210174560547,-0.71,2.45,0.3
1.001065969467163,-0.59,2.49,0.17
1.0119538307189941,-0.46,2.53,0.05
