time,wx,wy,wz
0.007039070129394531,-0.19,0.07,0.13
0.016865015029907227,-0.11,0.0,0.07
0.027940034866333008,0.01,-0.11,-0.06
0.03783702850341797,0.21,-0.12,-0.22
0.06027102470397949,0.47,-0.05,-0.37
0.06257915496826172,0.74,-0.09,-0.47
0.06687116622924805,0.94,-0.12,-0.51
0.0773930549621582,1.1,-0.15,-0.61
0.08762598037719727,1.15,-0.18,-0.67
0.09755992889404297,1.11,-0.21,-0.68
0.10771799087524414,0.97,-0.24,-0.64
0.11758089065551758,0.75,-0.26,-0.56
0.1284780502319336,0.46,-0.29,-0.43
0.13860106468200684,0.14,-0.31,-0.28
0.16208696365356445,-0.19,-0.32,-0.1
0.16440510749816895,-0.5,-0.34,0.07
0.16802000999450684,-0.74,-0.35,0.24
0.178117036819458,-0.92,-0.37,0.39
0.18837594985961914,-1.02,-0.38,0.5
0.19831204414367676,-1.03,-0.4,0.55
0.20818305015563965,-0.97,-0.42,0.55
0.21961593627929688,-0.83,-0.43,0.49
0.22972822189331055,-0.63,-0.45,0.4
0.2394399642944336,-0.39,-0.45,0.26
0.2641940116882324,-0.12,-0.46,0.1
0.2663850784301758,0.15,-0.47,-0.08
0.2685399055480957,0.4,-0.47,-0.26
0.28621602058410645,0.62,-0.48,-0.42
0.28879404067993164,0.78,-0.48,-0.56
0.30408811569213867,0.85,-0.49,-0.67
0.30901503562927246,0.84,-0.5,-0.74
0.31960296630859375,0.74,-0.51,-0.77
0.33009815216064453,0.57,-0.51,-0.75
0.3401460647583008,0.34,-0.51,-0.68
0.3649940490722656,0.08,-0.51,-0.58
0.3669710159301758,-0.18,-0.51,-0.44
0.36929798126220703,-0.42,-0.5,-0.27
0.38718199729919434,-0.6,-0.49,-0.09
0.38952112197875977,-0.72,-0.47,0.09
0.402616024017334,-0.74,-0.45,0.26
0.409757137298584,-0.69,-0.44,0.4
0.4203681945800781,-0.56,-0.42,0.5
0.4312570095062256,-0.37,-0.4,0.55
0.44076108932495117,-0.14,-0.38,0.55
0.4588651657104492,0.1,-0.35,0.49
0.46091222763061523,0.33,-0.33,0.39
0.4702339172363281,0.53,-0.3,0.25
0.48026418685913086,0.68,-0.28,0.09
0.4904170036315918,0.75,-0.25,-0.08
0.5005478858947754,0.75,-0.23,-0.24
0.5105500221252441,0.69,-0.21,-0.38
0.5215539932250977,0.56,-0.19,-0.49
0.5318760871887207,0.37,-0.17,-0.56
0.5414619445800781,0.14,-0.14,-0.59
0.5589981079101562,-0.12,-0.11,-0.59
0.5612640380859375,-0.38,-0.08,-0.54
0.5711169242858887,-0.64,-0.05,-0.46
0.5811419486999512,-0.86,-0.01,-0.35
0.5911669731140137,-1.04,0.03,-0.23
0.6022911071777344,-1.16,0.06,-0.1
0.6124410629272461,-1.21,0.1,0.03
0.6218628883361816,-1.19,0.14,0.15
0.6324529647827148,-1.1,0.17,0.26
0.6422140598297119,-0.95,0.21,0.34
0.6584041118621826,-0.78,0.24,0.39
0.6615190505981445,-0.59,0.28,0.41
0.6718730926513672,-0.43,0.31,0.4
0.6817960739135742,-0.3,0.34,0.36
0.6918830871582031,-0.23,0.37,0.3
0.7018520832061768,-0.22,0.4,0.21
0.7133069038391113,-0.26,0.43,0.12
0.7227721214294434,-0.36,0.46,0.03
0.7331562042236328,-0.49,0.48,-0.05
0.743074893951416,-0.64,0.51,-0.11
0.7607431411743164,-0.8,0.53,-0.16
0.7631111145019531,-0.97,0.56,-0.18
0.7724452018737793,-1.13,0.59,-0.18
0.7825510501861572,-1.26,0.62,-0.16
0.792565107345581,-1.38,0.65,-0.11
0.8037300109863281,-1.48,0.68,-0.05
0.8135991096496582,-1.53,0.7,0.02
0.8236260414123535,-1.55,0.72,0.09
0.8338360786437988,-1.54,0.74,0.17
0.8589839935302734,-1.48,0.76,0.25
0.8608310222625732,-1.36,0.77,0.31
0.8629541397094727,-1.21,0.79,0.36
0.8730249404907227,-1.03,0.8,0.39
0.8832969665527344,-0.82,0.82,0.41
0.8933901786804199,-0.61,0.83,0.4
0.9033010005950928,-0.41,0.84,0.37
0.9144339561462402,-0.25,0.85,0.33
0.9241189956665039,-0.12,0.85,0.27
0.934502124786377,-0.05,0.86,0.2
0.9581561088562012,-0.02,0.86,0.12
0.9598801136016846,-0.04,0.86,0.04
0.9635200500488281,-0.1,0.86,-0.03
0.9738330841064453,-0.19,0.86,-0.1
0.9840679168701172,-0.3,0.85,-0.15
0.9941182136535645,-0.41,0.84,-0.19
1.0046041011810303,-0.52,0.84,-0.2
1.0149731636047363,-0.61,0.83,-0.2
1.025273084640503,-0.66,0.82,-0.19
1.0355160236358643,-0.67,0.81,-0.15
1.0612480640411377,-0.63,0.8,-0.1
1.0630390644073486,-0.55,0.79,-0.05
1.0651040077209473,-0.42,0.78,0.01
1.0747010707855225,-0.26,0.77,0.08
1.0847339630126953,-0.08,0.76,0.14
1.094801902770996,0.12,0.74,0.19
1.105639934539795,0.32,0.73,0.23
1.116030216217041,0.51,0.71,0.26
