time,wx,wy,wz
0.004808902740478516,-0.18,-0.27,0.11
0.0064008235931396484,-0.14,-0.38,0.1
0.00954890251159668,-0.11,-0.49,0.08
0.019433975219726562,-0.08,-0.56,0.05
0.029631853103637695,-0.05,-0.57,0.01
0.03970670700073242,-0.01,-0.57,-0.04
0.0510098934173584,0.01,-0.54,-0.1
0.06031179428100586,0.01,-0.46,-0.14
0.07059288024902344,0.01,-0.39,-0.16
0.08104681968688965,0.0,-0.34,-0.18
0.09537887573242188,-0.01,-0.29,-0.18
0.1001429557800293,-0.03,-0.21,-0.18
0.1101388931274414,-0.06,-0.11,-0.17
0.12138891220092773,-0.09,-0.01,-0.16
0.1313319206237793,-0.1,0.08,-0.15
0.14091968536376953,-0.11,0.18,-0.14
0.1514749526977539,-0.12,0.25,-0.14
0.16192293167114258,-0.13,0.27,-0.13
0.1714329719543457,-0.13,0.24,-0.13
0.18182802200317383,-0.13,0.17,-0.12
0.19864368438720703,-0.11,0.04,-0.09
0.20064496994018555,-0.09,-0.1,-0.05
0.2108607292175293,-0.07,-0.2,0.0
0.22197198867797852,-0.04,-0.25,0.03
0.2317819595336914,0.0,-0.29,0.05
0.24147486686706543,0.03,-0.31,0.04
0.25230884552001953,0.05,-0.32,0.01
0.2624828815460205,0.06,-0.32,-0.04
0.272371768951416,0.05,-0.29,-0.09
0.28290796279907227,0.01,-0.23,-0.13
0.2995338439941406,-0.03,-0.14,-0.16
0.3014068603515625,-0.08,-0.05,-0.16
0.3124690055847168,-0.11,0.03,-0.15
0.3221738338470459,-0.14,0.07,-0.14
0.3327798843383789,-0.15,0.06,-0.12
0.34273791313171387,-0.16,0.01,-0.12
0.35275888442993164,-0.17,-0.04,-0.13
0.3632049560546875,-0.18,-0.08,-0.14
0.37331199645996094,-0.2,-0.13,-0.16
0.3836379051208496,-0.21,-0.17,-0.17
0.3980870246887207,-0.21,-0.2,-0.19
0.4020500183105469,-0.21,-0.22,-0.19
0.41254568099975586,-0.21,-0.22,-0.19
0.42357397079467773,-0.22,-0.28,-0.18
0.43335771560668945,-0.22,-0.4,-0.16
0.44341182708740234,-0.21,-0.55,-0.15
0.4531888961791992,-0.21,-0.72,-0.14
0.46436500549316406,-0.2,-0.87,-0.15
0.47362685203552246,-0.19,-0.87,-0.19
0.49556684494018555,-0.18,-0.84,-0.23
0.49774599075317383,-0.17,-0.82,-0.25
0.5028078556060791,-0.15,-0.81,-0.25
0.5154728889465332,-0.12,-0.85,-0.22
0.5236139297485352,-0.1,-0.96,-0.15
0.5340838432312012,-0.08,-1.09,-0.06
0.5439467430114746,-0.08,-1.23,0.04
0.5538697242736816,-0.08,-1.36,0.15
0.5646119117736816,-0.1,-1.49,0.26
0.5742959976196289,-0.18,-1.57,0.32
0.5960597991943359,-0.29,-1.62,0.29
0.5985469818115234,-0.39,-1.61,0.21
0.6036958694458008,-0.5,-1.59,0.13
0.6154646873474121,-0.57,-1.6,0.1
0.6248507499694824,-0.63,-1.65,0.13
0.6345877647399902,-0.64,-1.73,0.2
0.6447978019714355,-0.63,-1.82,0.25
0.6549808979034424,-0.61,-1.89,0.28
0.6651449203491211,-0.58,-1.97,0.29
0.6752777099609375,-0.54,-2.05,0.28
0.6958088874816895,-0.52,-2.12,0.26
0.697509765625,-0.5,-2.19,0.23
0.7043700218200684,-0.47,-2.27,0.2
0.71685791015625,-0.43,-2.34,0.2
0.725078821182251,-0.38,-2.41,0.2
0.7354588508605957,-0.33,-2.47,0.22
0.746086835861206,-0.29,-2.54,0.23
0.7556467056274414,-0.26,-2.6,0.23
0.7664790153503418,-0.25,-2.67,0.22
0.7762248516082764,-0.26,-2.74,0.21
0.7966358661651611,-0.3,-2.8,0.18
0.7983789443969727,-0.36,-2.87,0.17
0.8049478530883789,-0.42,-2.93,0.17
0.8172729015350342,-0.46,-2.99,0.2
0.8257260322570801,-0.46,-3.05,0.25
0.8364787101745605,-0.44,-3.1,0.32
0.8465547561645508,-0.4,-3.16,0.38
0.8562898635864258,-0.37,-3.21,0.43
0.8671128749847412,-0.34,-3.27,0.46
0.876680850982666,-0.3,-3.32,0.47
0.8915309906005859,-0.28,-3.38,0.46
0.8958358764648438,-0.26,-3.43,0.45
0.9059619903564453,-0.24,-3.48,0.44
0.917280912399292,-0.19,-3.53,0.43
0.9265589714050293,-0.11,-3.58,0.43
0.9369409084320068,-0.01,-3.63,0.43
0.9471228122711182,0.08,-3.67,0.41
0.9572477340698242,0.16,-3.71,0.38
0.9676778316497803,0.22,-3.75,0.33
0.9775958061218262,0.25,-3.8,0.27
0.992102861404419,0.25,-3.84,0.21
0.9966528415679932,0.22,-3.88,0.15
1.0064806938171387,0.18,-3.92,0.1
1.0168368816375732,0.14,-3.96,0.06
1.0280048847198486,0.11,-3.99,0.04
1.0371038913726807,0.11,-4.03,0.03
1.0478696823120117,0.14,-4.06,0.02
1.0573968887329102,0.18,-4.09,0.01
1.0681548118591309,0.21,-4.12,0.0
1.0782418251037598,0.23,-4.15,-0.02
1.092514991760254,0.25,-4.17,-0.03
1.0971307754516602,0.25,-4.2,-0.05
1.1073098182678223,0.23,-4.22,-0.06
1.1183977127075195,0.22,-4.25,-0.06
1.1281609535217285,0.21,-4.26,-0.06
1.1383757591247559,0.22,-4.28,-0.07
1.1489367485046387,0.24,-4.3,-0.1
1.158782958984375,0.27,-4.32,-0.14
1.169339895248413,0.29,-4.33,-0.19
1.1792407035827637,0.28,-4.35,-0.24
1.195570945739746,0.26,-4.37,-0.29
1.198028802871704,0.21,-4.38,-0.34
1.2081348896026611,0.15,-4.39,-0.38
1.2187628746032715,0.08,-4.4,-0.41
1.2294259071350098,0.02,-4.41,-0.43
1.2388687133789062,-0.05,-4.42,-0.45
1.2491648197174072,-0.1,-4.42,-0.48
1.2590680122375488,-0.15,-4.43,-0.51
1.2692017555236816,-0.19,-4.43,-0.53
1.2911388874053955,-0.24,-4.43,-0.54
1.2930717468261719,-0.29,-4.44,-0.54
1.2987546920776367,-0.34,-4.43,-0.53
1.308736801147461,-0.38,-4.43,-0.5
1.3196918964385986,-0.4,-4.43,-0.47
1.3297739028930664,-0.4,-4.43,-0.43
1.3394689559936523,-0.38,-4.42,-0.4
1.3501248359680176,-0.35,-4.41,-0.39
1.359893798828125,-0.32,-4.41,-0.39
1.37031888961792,-0.28,-4.4,-0.4
1.3923017978668213,-0.26,-4.39,-0.41
1.3944640159606934,-0.25,-4.38,-0.42
1.3992977142333984,-0.25,-4.37,-0.41
1.4094479084014893,-0.26,-4.36,-0.41
1.4207468032836914,-0.28,-4.35,-0.41
1.430586814880371,-0.31,-4.34,-0.41
1.4403719902038574,-0.34,-4.33,-0.4
1.4511709213256836,-0.37,-4.31,-0.41
1.4612078666687012,-0.42,-4.29,-0.42
1.4711618423461914,-0.48,-4.27,-0.43
1.4948978424072266,-0.54,-4.25,-0.44
1.49753999710083,-0.61,-4.23,-0.42
1.5001487731933594,-0.68,-4.21,-0.39
1.515002727508545,-0.73,-4.18,-0.33
1.5205488204956055,-0.78,-4.16,-0.26
1.5313329696655273,-0.8,-4.13,-0.18
1.540799856185913,-0.8,-4.1,-0.09
1.5512468814849854,-0.78,-4.07,-0.01
1.56174898147583,-0.74,-4.04,0.07
1.5718238353729248,-0.69,-4.01,0.13
1.5946059226989746,-0.62,-3.98,0.2
1.5968480110168457,-0.55,-3.95,0.26
1.6007928848266602,-0.48,-3.92,0.31
1.6108508110046387,-0.4,-3.88,0.35
1.6220879554748535,-0.31,-3.85,0.38
1.6321439743041992,-0.24,-3.81,0.4
1.6414170265197754,-0.17,-3.78,0.4
1.652425765991211,-0.11,-3.75,0.39
1.662322998046875,-0.08,-3.71,0.35
1.6720008850097656,-0.08,-3.67,0.31
1.6876177787780762,-0.09,-3.64,0.27
1.691532850265503,-0.12,-3.6,0.23
1.7015058994293213,-0.16,-3.56,0.21
1.7117657661437988,-0.21,-3.53,0.19
1.7226488590240479,-0.25,-3.49,0.19
1.7316498756408691,-0.29,-3.45,0.19
1.7429068088531494,-0.32,-3.41,0.2
1.7524819374084473,-0.32,-3.37,0.2
1.762847900390625,-0.32,-3.32,0.2
1.7724199295043945,-0.29,-3.28,0.2
