time,wx,wy,wz
0.005213022232055664,-0.02,0.06,0.02
0.010187864303588867,-0.03,0.06,0.01
0.020760059356689453,-0.02,0.02,0.0
0.030640840530395508,0.0,-0.01,-0.01
0.040598154067993164,0.03,-0.01,-0.01
0.050894975662231445,0.06,0.01,0.0
0.06194305419921875,0.1,0.03,0.0
0.08040308952331543,0.13,0.04,0.0
0.08262205123901367,0.15,0.03,0.0
0.09132599830627441,0.14,0.01,-0.01
0.10125303268432617,0.1,-0.01,-0.02
0.11112713813781738,0.04,-0.02,-0.02
0.12137794494628906,-0.05,-0.01,-0.01
0.1322019100189209,-0.15,0.02,-0.01
0.1418440341949463,-0.21,0.04,0.0
0.15273785591125488,-0.25,0.05,0.01
0.16211700439453125,-0.26,0.06,0.01
0.18215394020080566,-0.24,0.04,0.0
0.18405699729919434,-0.21,0.01,-0.01
0.19190192222595215,-0.2,-0.01,-0.02
0.2028789520263672,-0.22,-0.03,-0.03
0.21191096305847168,-0.24,-0.02,-0.02
0.22288894653320312,-0.26,0.0,-0.02
0.23288989067077637,-0.28,0.01,-0.02
0.2425980567932129,-0.31,0.03,-0.01
0.25322508811950684,-0.38,0.03,-0.02
0.2779660224914551,-0.45,0.04,-0.02
0.2798030376434326,-0.5,0.03,-0.03
0.2823300361633301,-0.54,0.01,-0.03
0.2925760746002197,-0.56,0.0,-0.04
0.3024580478668213,-0.56,-0.02,-0.05
0.3126540184020996,-0.55,-0.03,-0.05
0.32366013526916504,-0.53,-0.02,-0.05
0.3332500457763672,-0.53,-0.02,-0.05
0.34307003021240234,-0.55,-0.02,-0.05
0.3539619445800781,-0.62,-0.02,-0.06
0.37878894805908203,-0.73,-0.03,-0.08
0.3805711269378662,-0.83,-0.05,-0.1
0.38320302963256836,-0.91,-0.08,-0.12
0.3932521343231201,-0.97,-0.1,-0.13
0.4032161235809326,-1.04,-0.11,-0.14
0.4134180545806885,-1.11,-0.1,-0.14
0.42424607276916504,-1.2,-0.09,-0.14
0.4343860149383545,-1.3,-0.09,-0.14
0.4438760280609131,-1.43,-0.1,-0.14
0.4549601078033447,-1.57,-0.11,-0.15
0.4799988269805908,-1.7,-0.13,-0.17
0.4817020893096924,-1.83,-0.14,-0.18
0.48383593559265137,-1.96,-0.14,-0.19
0.4939758777618408,-2.15,-0.12,-0.2
0.5040891170501709,-2.34,-0.1,-0.2
0.5153591632843018,-2.55,-0.08,-0.21
0.5246021747589111,-2.73,-0.06,-0.23
0.5353569984436035,-2.9,-0.05,-0.24
0.5447850227355957,-3.1,-0.05,-0.26
0.5556340217590332,-3.27,-0.03,-0.27
0.5809729099273682,-3.43,0.0,-0.28
0.5826940536499023,-3.59,0.04,-0.28
0.584648847579956,-3.77,0.09,-0.28
0.6033990383148193,-3.92,0.13,-0.28
0.604882001876831,-4.05,0.15,-0.28
0.6199491024017334,-4.19,0.15,-0.29
0.6249721050262451,-4.33,0.14,-0.28
0.6360230445861816,-4.45,0.11,-0.25
0.6458840370178223,-4.55,0.09,-0.21
0.6560509204864502,-4.63,0.09,-0.16
0.6756131649017334,-4.64,0.12,-0.1
0.6777589321136475,-4.59,0.18,-0.03
0.6853680610656738,-4.43,0.27,0.05
0.6953959465026855,-4.19,0.39,0.13
0.7056658267974854,-3.98,0.46,0.24
0.7156350612640381,-3.83,0.43,0.4
0.72576904296875,-3.5,0.37,0.55
0.7368218898773193,-2.97,0.3,0.67
0.7467920780181885,-2.29,0.23,0.76
0.7568528652191162,-1.54,0.17,0.82
0.773643970489502,-0.8,0.11,0.84
0.7756330966949463,-0.09,0.06,0.82
0.7860260009765625,0.54,0.01,0.77
0.796288013458252,1.09,-0.04,0.68
0.8064019680023193,1.52,-0.09,0.56
0.8164041042327881,1.8,-0.14,0.43
0.8276221752166748,1.88,-0.2,0.27
0.8372828960418701,1.74,-0.27,0.09
0.8474080562591553,1.38,-0.35,-0.1
0.8578140735626221,0.85,-0.44,-0.26
0.8773369789123535,0.22,-0.52,-0.39
0.8795289993286133,-0.48,-0.6,-0.49
0.8868539333343506,-1.26,-0.67,-0.56
0.8967211246490479,-2.05,-0.75,-0.61
0.9071049690246582,-2.77,-0.8,-0.62
0.9171550273895264,-3.36,-0.86,-0.58
0.928318977355957,-3.83,-0.91,-0.51
0.938209056854248,-4.15,-0.95,-0.41
0.9480931758880615,-4.34,-1.0,-0.29
0.9582650661468506,-4.36,-1.05,-0.17
0.9776790142059326,-4.16,-1.1,-0.05
0.9799110889434814,-3.7,-1.15,0.05
0.9876940250396729,-3.08,-1.2,0.15
0.9977350234985352,-2.44,-1.25,0.22
1.0078740119934082,-1.85,-1.31,0.27
1.0188181400299072,-1.33,-1.36,0.28
1.0281450748443604,-0.86,-1.41,0.24
1.0391340255737305,-0.39,-1.45,0.19
1.0489959716796875,0.07,-1.5,0.1
1.0741369724273682,0.48,-1.54,0.01
1.0759119987487793,0.8,-1.58,-0.08
1.0780580043792725,0.97,-1.62,-0.17
1.088258981704712,0.95,-1.67,-0.25
1.0982911586761475,0.77,-1.72,-0.31
1.1085388660430908,0.46,-1.76,-0.34
1.1197459697723389,0.05,-1.8,-0.31
1.128697156906128,-0.44,-1.84,-0.22
1.1398189067840576,-0.99,-1.87,-0.07
1.1502578258514404,-1.56,-1.9,0.12
1.1762230396270752,-2.09,-1.93,0.32
1.1780049800872803,-2.53,-1.97,0.52
1.1801409721374512,-2.84,-2.0,0.73
1.1889989376068115,-3.0,-2.04,0.94
1.1990230083465576,-3.03,-2.09,1.13
1.2091739177703857,-2.92,-2.13,1.29
1.2202398777008057,-2.68,-2.18,1.39
1.2295210361480713,-2.32,-2.22,1.41
1.2403240203857422,-1.85,-2.26,1.37
1.2505428791046143,-1.31,-2.28,1.29
1.2753431797027588,-0.74,-2.29,1.16
1.277034044265747,-0.21,-2.29,0.98
1.2794480323791504,0.24,-2.29,0.76
1.2895700931549072,0.6,-2.29,0.51
1.29976487159729,0.86,-2.29,0.26
1.3098399639129639,1.04,-2.29,0.02
1.321091890335083,1.12,-2.29,-0.19
1.3306691646575928,1.11,-2.3,-0.38
1.3408830165863037,0.99,-2.3,-0.53
1.351496934890747,0.77,-2.31,-0.64
1.3757250308990479,0.47,-2.31,-0.67
1.3773579597473145,0.13,-2.31,-0.62
1.3802578449249268,-0.21,-2.3,-0.51
1.3905441761016846,-0.52,-2.28,-0.36
1.4006421566009521,-0.83,-2.26,-0.17
1.4116871356964111,-1.12,-2.24,0.05
1.4216339588165283,-1.37,-2.22,0.29
1.4315099716186523,-1.54,-2.2,0.55
1.4417500495910645,-1.59,-2.19,0.77
1.4518530368804932,-1.53,-2.18,0.96
1.470123052597046,-1.34,-2.16,1.09
1.4720749855041504,-1.1,-2.14,1.17
1.4810941219329834,-0.83,-2.12,1.18
1.491189956665039,-0.55,-2.1,1.12
1.501399040222168,-0.26,-2.07,0.99
1.5122489929199219,0.05,-2.04,0.8
1.5221669673919678,0.35,-2.0,0.55
1.532409906387329,0.62,-1.96,0.27
1.5418241024017334,0.79,-1.92,-0.04
1.5527839660644531,0.86,-1.89,-0.35
1.5704319477081299,0.84,-1.86,-0.65
1.5723450183868408,0.75,-1.83,-0.92
1.5818510055541992,0.62,-1.81,-1.16
1.5920360088348389,0.44,-1.78,-1.35
1.6020748615264893,0.22,-1.74,-1.47
1.6131508350372314,-0.06,-1.71,-1.54
1.6231491565704346,-0.36,-1.66,-1.55
1.6332781314849854,-0.66,-1.61,-1.5
1.6430079936981201,-0.89,-1.56,-1.38
1.6532819271087646,-1.04,-1.5,-1.18
